P_hotspot,prediction,true_label
3.0175403708258834e-13,0,0.0
3.6270350284063945e-11,0,0.0
5.303949329879448e-12,0,0.0
1.1507632899038558e-15,0,0.0
2.4724841604026304e-11,0,0.0
8.424726920590664e-13,0,0.0
3.201010587054784e-13,0,0.0
8.608143429295888e-12,0,0.0
2.4802583900656735e-10,0,0.0
1.3750615643094738e-16,0,0.0
5.277211551829752e-12,0,0.0
3.3939093589650877e-16,0,0.0
5.727923504114036e-18,0,0.0
4.38310772161071e-18,0,0.0
1.225471091259445e-10,0,0.0
8.153497712086521e-17,0,0.0
1.1354631166057993e-12,0,0.0
1.875838800697813e-16,0,0.0
7.341362063438723e-11,0,0.0
8.006287619045363e-15,0,0.0
1.5135696270824084e-12,0,0.0
3.7624270877424526e-13,0,0.0
4.763072587671194e-11,0,0.0
1.0325065706878924e-14,0,0.0
1.1193566440942328e-17,0,0.0
2.28494336522772e-14,0,0.0
5.058355999437173e-15,0,0.0
1.1316200490017617e-17,0,0.0
1.232115844871537e-13,0,0.0
5.459824486774105e-16,0,0.0
1.142764700044634e-16,0,0.0
2.9477603946433843e-06,0,0.0
1.6847854586201157e-13,0,0.0
4.54381562450147e-16,0,0.0
1.035992975780279e-13,0,0.0
2.1854963646209538e-10,0,0.0
2.931544024896094e-14,0,0.0
4.714815812598059e-13,0,0.0
2.855046805237092e-10,0,0.0
2.754809085213401e-09,0,0.0
2.7734935653547793e-15,0,0.0
6.591018879512393e-14,0,0.0
6.030330610248594e-11,0,0.0
2.9946770778226605e-10,0,0.0
2.1624942160275633e-16,0,0.0
7.12289104388424e-13,0,0.0
1.688266940566349e-20,0,0.0
1.540208551980349e-09,0,0.0
1.3125530888034607e-19,0,0.0
1.957776890216775e-17,0,0.0
6.139686605784661e-10,0,0.0
2.1180924334290637e-14,0,0.0
3.3896703246013846e-10,0,0.0
5.002270145430173e-13,0,0.0
2.5384446292057244e-07,0,0.0
1.4120775274828627e-15,0,0.0
4.63510249058763e-17,0,0.0
8.567643572405516e-09,0,0.0
1.5717398770154903e-17,0,0.0
6.976880551606625e-14,0,0.0
3.276317115079592e-10,0,0.0
1.5601767817135634e-10,0,0.0
4.907768088769073e-10,0,0.0
4.293740551342894e-12,0,0.0
2.6090389030831355e-17,0,0.0
2.7220287585410416e-13,0,0.0
0.0026780063798640813,0,0.0
6.176622589823897e-14,0,0.0
8.606453332748846e-14,0,0.0
1.7935634614964494e-11,0,0.0
5.502507544317937e-13,0,0.0
1.2791213225871359e-11,0,0.0
2.790626149093259e-12,0,0.0
3.153720247723958e-16,0,0.0
5.8354932266370155e-09,0,0.0
8.95997620630335e-14,0,0.0
5.150008694505244e-16,0,0.0
3.6829927391743333e-16,0,0.0
2.1478106545667885e-12,0,0.0
1.021225301305302e-16,0,0.0
1.9294729528466177e-16,0,0.0
1.703440062561824e-12,0,0.0
3.6216370816384796e-20,0,0.0
2.412105436283136e-12,0,0.0
6.518544239913562e-19,0,0.0
0.12941988193038592,-1,0.0
1.2265637851025826e-11,0,0.0
7.168565924245882e-16,0,0.0
7.950820467078381e-18,0,0.0
1.114147843240458e-09,0,0.0
1.1456500122719346e-07,0,0.0
4.778325929910388e-13,0,0.0
5.5111716413153663e-17,0,0.0
9.175929019378527e-15,0,0.0
1.090397719347797e-15,0,0.0
2.0139401163433123e-14,0,0.0
1.2106270061936207e-17,0,0.0
7.745893770532932e-11,0,0.0
1.1249894128576986e-15,0,0.0
9.159820963423032e-14,0,0.0
6.37817762941458e-09,0,0.0
4.052996056881666e-19,0,0.0
1.2787711687002327e-08,0,0.0
3.839163538315159e-15,0,0.0
3.4798297530909546e-10,0,0.0
4.995612741351149e-10,0,0.0
1.3491811787862777e-13,0,0.0
1.2626570418385208e-14,0,0.0
2.0969975251057077e-10,0,0.0
4.7134972375192246e-09,0,0.0
1.2075791084287351e-14,0,0.0
1.0057696678873158e-14,0,0.0
1.2267751405802954e-13,0,0.0
1.4931882139391822e-11,0,0.0
1.530165975558388e-10,0,0.0
1.8090268393817294e-15,0,0.0
1.2951275221330374e-08,0,0.0
3.8142134426909453e-11,0,0.0
1.5704097642403612e-12,0,0.0
7.621164197039696e-14,0,0.0
7.082004778651178e-13,0,0.0
6.725063758410333e-14,0,0.0
1.3018651041152863e-14,0,0.0
5.382613873757614e-11,0,0.0
2.13321453680017e-20,0,0.0
1.589009901805675e-07,0,0.0
5.0820003751066865e-11,0,0.0
6.651479037882675e-11,0,0.0
2.2865316392163414e-17,0,0.0
8.267489489973607e-10,0,0.0
1.93208570846174e-10,0,0.0
1.8303691532381503e-11,0,0.0
7.21002467773634e-11,0,0.0
3.655505745290879e-16,0,0.0
4.557615346183591e-08,0,0.0
1.5663857487878314e-10,0,0.0
1.4703460688613347e-19,0,0.0
2.28340430428284e-10,0,0.0
1.2535895192906718e-17,0,0.0
1.7594141185491446e-11,0,0.0
3.4522739082445434e-17,0,0.0
2.408127389074338e-10,0,0.0
8.999345083104033e-16,0,0.0
1.2083027473200894e-13,0,0.0
4.817712792318466e-10,0,0.0
1.340252741970689e-15,0,0.0
1.770386613335896e-12,0,0.0
1.5619471293115652e-11,0,0.0
3.6996948074215775e-13,0,0.0
4.383901229810057e-11,0,0.0
2.0659221555065574e-11,0,0.0
1.6517953395574977e-14,0,0.0
5.990088080814279e-20,0,0.0
2.128122354713964e-11,0,0.0
7.825667443861583e-14,0,0.0
2.5817106190789803e-08,0,0.0
1.8286730298111864e-12,0,0.0
1.7584121760886634e-13,0,0.0
5.758685616194198e-08,0,0.0
3.91901504582141e-10,0,0.0
2.1179135970461942e-10,0,0.0
1.1986364389934473e-06,0,0.0
1.5311068949272877e-13,0,0.0
8.586513658366683e-13,0,0.0
1.2301178653385405e-10,0,0.0
4.286492694651932e-12,0,0.0
1.9059073287775787e-10,0,0.0
8.775652513931044e-14,0,0.0
1.3119369295405046e-15,0,0.0
7.24480443118433e-20,0,0.0
2.8612954692198895e-13,0,0.0
1.409026410495699e-16,0,0.0
9.685166124283722e-13,0,0.0
9.714114808802152e-15,0,0.0
1.1634835941706323e-15,0,0.0
7.497464395128797e-13,0,0.0
2.3148157132931827e-15,0,0.0
3.5601089160373786e-13,0,0.0
1.1043128647569286e-12,0,0.0
1.2794775534083795e-13,0,0.0
1.401941238078007e-06,0,0.0
1.5494102781072768e-15,0,0.0
1.634306674799356e-11,0,0.0
1.4996271680332817e-16,0,0.0
5.706147660676312e-17,0,0.0
1.4316931332922283e-14,0,0.0
1.1082118122324853e-14,0,0.0
1.765080298519861e-16,0,0.0
4.797459710236857e-10,0,0.0
1.9622003960535035e-14,0,0.0
1.144123986151277e-11,0,0.0
6.318334737255021e-18,0,0.0
9.91606373346632e-19,0,0.0
5.69555368879243e-17,0,0.0
1.954363194396144e-14,0,0.0
1.985380028245937e-12,0,0.0
4.8452349609725403e-14,0,0.0
6.437412176587302e-09,0,0.0
2.294827795756123e-12,0,0.0
9.265905598863963e-11,0,0.0
2.072696406025373e-10,0,0.0
